Precinct 1,"",""
Registration & Turnout ,"","3,373"
Total... ,"2,694 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,828 ,23.30%
SGN - LAURENT ROSS ,276 ,7.77%
DEM - KWAME R. BROWN ,2231 ,62.77%
IND - A.D. ''TONY'' DOMINGUEZ ,194 ,5.46%
"Write In, if any ",25 ,0.70%
Total... ,"3,554 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,2207 ,88.99%
SGN - ADAM EIDINGER ,255 ,10.28%
"Write In, if any ",18 ,0.73%
Total... ,"2,480 ",100.00%
Precinct 80,"",""
Registration & Turnout ,"","1,49"
Election Day Turnout ,749 ,50.00
Absentee Turnout ,64 ,4.27
Total... ,813 ,54.27
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final
DEM - KERRY/EDWARDS ,758 ,94.40
SGN - COBB/LaMARCHE ,3 ,0.37
LIB - BADNARIK/CAMPAGNA ,1 ,0.12
SWP - HARRIS/TROWE ,0 ,0.00
REP - BUSH/CHENEY ,36 ,4.48
IND - NADER/CAMEJO ,4 ,0.50
"Write In, if any ",1 ,0.12
Total... ,803 ,100.00
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final
DEM - ELEANOR HOLMES NORTON ,760 ,96.20
REP - MICHAEL ANDREW MONROE ,28 ,3.54
"Write In, if any ",2 ,0.25
Total... ,790 ,100.00
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final
REP - CAROL SCHWARTZ ,249 ,24.34
SGN - LAURENT ROSS ,50 ,4.89
DEM - KWAME R. BROWN ,688 ,67.25
IND - A.D. ''TONY'' DOMINGUEZ ,32 ,3.13
"Write In, if any ",4 ,0.39
Total... ,"1,023 ",100.00
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final
SGN - MICHELE TINGLING-CLEMMONS ,19 ,2.41
REP - JEROD TOLSON ,18 ,2.28
DEM - VINCENT C. GRAY ,737 ,93.41
"Write In, if any ",15 ,1.90
Total... ,789 ,100.00
UNITED STATES REPRESENTATIVE ,"",(Final
DEM - RAY BROWNE ,699 ,95.49
SGN - ADAM EIDINGER ,31 ,4.23
"Write In, if any ",2 ,0.27
Total... ,732 ,100.00
Precinct 82,"",""
Registration & Turnout ,"","2,918"
Election Day Turnout ,1517 ,51.99%
Absentee Turnout ,140 ,4.80%
Total... ,"1,657 ",56.79%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1503 ,91.09%
SGN - COBB/LaMARCHE ,6 ,0.36%
LIB - BADNARIK/CAMPAGNA ,5 ,0.30%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,121 ,7.33%
IND - NADER/CAMEJO ,14 ,0.85%
"Write In, if any ",1 ,0.06%
Total... ,"1,650 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1506 ,92.79%
REP - MICHAEL ANDREW MONROE ,112 ,6.90%
"Write In, if any ",5 ,0.31%
Total... ,"1,623 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,551 ,25.70%
SGN - LAURENT ROSS ,177 ,8.26%
DEM - KWAME R. BROWN ,1272 ,59.33%
IND - A.D. ''TONY'' DOMINGUEZ ,122 ,5.69%
"Write In, if any ",22 ,1.03%
Total... ,"2,144 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1265 ,85.70%
SGN - ADAM EIDINGER ,201 ,13.62%
"Write In, if any ",10 ,0.68%
Total... ,"1,476 ",100.00%
Precinct 83,"",""
Registration & Turnout ,"","3,443"
Election Day Turnout ,1677 ,48.71%
Absentee Turnout ,149 ,4.33%
Total... ,"1,826 ",53.04%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1688 ,93.57%
SGN - COBB/LaMARCHE ,6 ,0.33%
LIB - BADNARIK/CAMPAGNA ,6 ,0.33%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,94 ,5.21%
IND - NADER/CAMEJO ,7 ,0.39%
"Write In, if any ",2 ,0.11%
Total... ,"1,804 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1669 ,94.40%
REP - MICHAEL ANDREW MONROE ,94 ,5.32%
"Write In, if any ",5 ,0.28%
Total... ,"1,768 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,552 ,24.26%
SGN - LAURENT ROSS ,181 ,7.96%
DEM - KWAME R. BROWN ,1418 ,62.33%
IND - A.D. ''TONY'' DOMINGUEZ ,113 ,4.97%
"Write In, if any ",11 ,0.48%
Total... ,"2,275 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1480 ,89.59%
SGN - ADAM EIDINGER ,163 ,9.87%
"Write In, if any ",9 ,0.54%
Total... ,"1,652 ",100.00%
Precinct 84,"",""
Registration & Turnout ,"","2,756"
Election Day Turnout ,1531 ,55.55%
Absentee Turnout ,197 ,7.15%
Total... ,"1,728 ",62.70%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1414 ,82.93%
SGN - COBB/LaMARCHE ,8 ,0.47%
LIB - BADNARIK/CAMPAGNA ,7 ,0.41%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,257 ,15.07%
IND - NADER/CAMEJO ,10 ,0.59%
"Write In, if any ",9 ,0.53%
Total... ,"1,705 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1393 ,82.77%
REP - MICHAEL ANDREW MONROE ,277 ,16.46%
"Write In, if any ",13 ,0.77%
Total... ,"1,683 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,878 ,36.33%
SGN - LAURENT ROSS ,253 ,10.47%
DEM - KWAME R. BROWN ,1099 ,45.47%
IND - A.D. ''TONY'' DOMINGUEZ ,159 ,6.58%
"Write In, if any ",28 ,1.16%
Total... ,"2,417 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1093 ,75.80%
SGN - ADAM EIDINGER ,307 ,21.29%
"Write In, if any ",42 ,2.91%
Total... ,"1,442 ",100.00%
Precinct 85,"",""
Registration & Turnout ,"","3,515"
Election Day Turnout ,1947 ,55.39%
Absentee Turnout ,397 ,11.29%
Total... ,"2,344 ",66.69%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1874 ,80.29%
SGN - COBB/LaMARCHE ,13 ,0.56%
LIB - BADNARIK/CAMPAGNA ,12 ,0.51%
SWP - HARRIS/TROWE ,1 ,0.04%
REP - BUSH/CHENEY ,397 ,17.01%
IND - NADER/CAMEJO ,23 ,0.99%
"Write In, if any ",14 ,0.60%
Total... ,"2,334 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1854 ,81.89%
REP - MICHAEL ANDREW MONROE ,399 ,17.62%
"Write In, if any ",11 ,0.49%
Total... ,"2,264 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1203 ,37.16%
SGN - LAURENT ROSS ,323 ,9.98%
DEM - KWAME R. BROWN ,1466 ,45.29%
IND - A.D. ''TONY'' DOMINGUEZ ,209 ,6.46%
"Write In, if any ",36 ,1.11%
Total... ,"3,237 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1375 ,73.92%
SGN - ADAM EIDINGER ,449 ,24.14%
"Write In, if any ",36 ,1.94%
Total... ,"1,860 ",100.00%
Precinct 86,"",""
Registration & Turnout ,"","2,681"
Election Day Turnout ,1393 ,51.96%
Absentee Turnout ,172 ,6.42%
Total... ,"1,565 ",58.37%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1370 ,87.99%
SGN - COBB/LaMARCHE ,6 ,0.39%
LIB - BADNARIK/CAMPAGNA ,2 ,0.13%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,163 ,10.47%
IND - NADER/CAMEJO ,13 ,0.83%
"Write In, if any ",2 ,0.13%
Total... ,"1,557 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1357 ,89.81%
REP - MICHAEL ANDREW MONROE ,145 ,9.60%
"Write In, if any ",9 ,0.60%
Total... ,"1,511 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,652 ,30.44%
SGN - LAURENT ROSS ,176 ,8.22%
DEM - KWAME R. BROWN ,1166 ,54.44%
IND - A.D. ''TONY'' DOMINGUEZ ,133 ,6.21%
"Write In, if any ",15 ,0.70%
Total... ,"2,142 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1114 ,81.97%
SGN - ADAM EIDINGER ,219 ,16.11%
"Write In, if any ",26 ,1.91%
Total... ,"1,359 ",100.00%
Precinct 87,"",""
Registration & Turnout ,"","3,190"
Election Day Turnout ,1564 ,49.03%
Absentee Turnout ,222 ,6.96%
Total... ,"1,786 ",55.99%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1616 ,91.14%
SGN - COBB/LaMARCHE ,5 ,0.28%
LIB - BADNARIK/CAMPAGNA ,4 ,0.23%
SWP - HARRIS/TROWE ,2 ,0.11%
REP - BUSH/CHENEY ,134 ,7.56%
IND - NADER/CAMEJO ,7 ,0.39%
"Write In, if any ",5 ,0.28%
Total... ,"1,773 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1623 ,93.33%
REP - MICHAEL ANDREW MONROE ,112 ,6.44%
"Write In, if any ",4 ,0.23%
Total... ,"1,739 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,607 ,25.81%
SGN - LAURENT ROSS ,178 ,7.57%
DEM - KWAME R. BROWN ,1418 ,60.29%
IND - A.D. ''TONY'' DOMINGUEZ ,127 ,5.40%
"Write In, if any ",22 ,0.94%
Total... ,"2,352 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1394 ,86.37%
SGN - ADAM EIDINGER ,208 ,12.89%
"Write In, if any ",12 ,0.74%
Total... ,"1,614 ",100.00%
Precinct 88,"",""
Registration & Turnout ,"","2,617"
Election Day Turnout ,1532 ,58.54%
Absentee Turnout ,254 ,9.71%
Total... ,"1,786 ",68.25%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1504 ,84.92%
SGN - COBB/LaMARCHE ,8 ,0.45%
LIB - BADNARIK/CAMPAGNA ,15 ,0.85%
SWP - HARRIS/TROWE ,3 ,0.17%
REP - BUSH/CHENEY ,221 ,12.48%
IND - NADER/CAMEJO ,15 ,0.85%
"Write In, if any ",5 ,0.28%
Total... ,"1,771 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1519 ,87.60%
REP - MICHAEL ANDREW MONROE ,200 ,11.53%
"Write In, if any ",15 ,0.87%
Total... ,"1,734 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,915 ,35.36%
SGN - LAURENT ROSS ,272 ,10.51%
DEM - KWAME R. BROWN ,1220 ,47.14%
IND - A.D. ''TONY'' DOMINGUEZ ,158 ,6.11%
"Write In, if any ",23 ,0.89%
Total... ,"2,588 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1113 ,75.66%
SGN - ADAM EIDINGER ,324 ,22.03%
"Write In, if any ",34 ,2.31%
Total... ,"1,471 ",100.00%
Precinct 89,"",""
Registration & Turnout ,"","3,602"
Election Day Turnout ,2067 ,57.38%
Absentee Turnout ,377 ,10.47%
Total... ,"2,444 ",67.85%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1856 ,76.25%
SGN - COBB/LaMARCHE ,13 ,0.53%
LIB - BADNARIK/CAMPAGNA ,15 ,0.62%
SWP - HARRIS/TROWE ,2 ,0.08%
REP - BUSH/CHENEY ,515 ,21.16%
IND - NADER/CAMEJO ,23 ,0.94%
"Write In, if any ",10 ,0.41%
Total... ,"2,434 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1873 ,79.06%
REP - MICHAEL ANDREW MONROE ,478 ,20.18%
"Write In, if any ",18 ,0.76%
Total... ,"2,369 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1434 ,41.48%
SGN - LAURENT ROSS ,324 ,9.37%
DEM - KWAME R. BROWN ,1412 ,40.84%
IND - A.D. ''TONY'' DOMINGUEZ ,252 ,7.29%
"Write In, if any ",35 ,1.01%
Total... ,"3,457 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1359 ,73.42%
SGN - ADAM EIDINGER ,433 ,23.39%
"Write In, if any ",59 ,3.19%
Total... ,"1,851 ",100.00%
Precinct 90,"",""
egistration & Turnout ,"","1,870"
Election Day Turnout ,1148 ,61.39%
Absentee Turnout ,156 ,8.34%
Total... ,"1,304 ",69.73%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1077 ,82.97%
SGN - COBB/LaMARCHE ,8 ,0.62%
LIB - BADNARIK/CAMPAGNA ,8 ,0.62%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,190 ,14.64%
IND - NADER/CAMEJO ,10 ,0.77%
"Write In, if any ",5 ,0.39%
Total... ,"1,298 ",100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1082 ,85.06%
REP - MICHAEL ANDREW MONROE ,181 ,14.23%
"Write In, if any ",9 ,0.71%
Total... ,"1,272 ",100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,641 ,34.54%
SGN - LAURENT ROSS ,190 ,10.24%
DEM - KWAME R. BROWN ,881 ,47.47%
IND - A.D. ''TONY'' DOMINGUEZ ,128 ,6.90%
"Write In, if any ",16 ,0.86%
Total... ,"1,856 ",100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,814 ,76.36%
SGN - ADAM EIDINGER ,230 ,21.58%
"Write In, if any ",22 ,2.06%
Total... ,"1,066 ",100.00%
Precinct 91,"",""
Registration & Turnout ,"","4,161"
Election Day Turnout ,2145 ,51.55%
Absentee Turnout ,209 ,5.02%
Total... ,"2,354 ",56.57%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2113 ,90.73%
SGN - COBB/LaMARCHE ,13 ,0.56%
LIB - BADNARIK/CAMPAGNA ,8 ,0.34%
SWP - HARRIS/TROWE ,2 ,0.09%
REP - BUSH/CHENEY ,168 ,7.21%
IND - NADER/CAMEJO ,15 ,0.64%
"Write In, if any ",10 ,0.43%
Total... ,"2,329 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2086 ,91.93%
REP - MICHAEL ANDREW MONROE ,169 ,7.45%
"Write In, if any ",14 ,0.62%
Total... ,"2,269 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,881 ,28.53%
SGN - LAURENT ROSS ,270 ,8.74%
DEM - KWAME R. BROWN ,1735 ,56.19%
IND - A.D. ''TONY'' DOMINGUEZ ,177 ,5.73%
"Write In, if any ",25 ,0.81%
Total... ,"3,088 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1716 ,83.10%
SGN - ADAM EIDINGER ,328 ,15.88%
"Write In, if any ",21 ,1.02%
Total... ,"2,065 ",100.00%
Precinct 93,"",""
Registration & Turnout ,"","1,489"
Election Day Turnout ,829 ,55.67%
Absentee Turnout ,39 ,2.62%
Total... ,868 ,58.29%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,805 ,94.15%
SGN - COBB/LaMARCHE ,2 ,0.23%
LIB - BADNARIK/CAMPAGNA ,1 ,0.12%
SWP - HARRIS/TROWE ,3 ,0.35%
REP - BUSH/CHENEY ,44 ,5.15%
IND - NADER/CAMEJO ,0 ,0.00%
"Write In, if any ",0 ,0.00%
Total... ,855 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,818 ,97.50%
REP - MICHAEL ANDREW MONROE ,20 ,2.38%
"Write In, if any ",1 ,0.12%
Total... ,839 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,238 ,22.35%
SGN - LAURENT ROSS ,68 ,6.38%
DEM - KWAME R. BROWN ,706 ,66.29%
IND - A.D. ''TONY'' DOMINGUEZ ,48 ,4.51%
"Write In, if any ",5 ,0.47%
Total... ,"1,065 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,26 ,3.10%
REP - JEROD TOLSON ,20 ,2.38%
DEM - VINCENT C. GRAY ,779 ,92.85%
"Write In, if any ",14 ,1.67%
Total... ,839 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,761 ,95.13%
SGN - ADAM EIDINGER ,38 ,4.75%
"Write In, if any ",1 ,0.13%
Total... ,800 ,100.00%
Precinct 92,"",""
Registration & Turnout ,"","1,551"
Election Day Turnout ,834 ,53.77%
Absentee Turnout ,65 ,4.19%
Total... ,899 ,57.96%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,845 ,95.91%
SGN - COBB/LaMARCHE ,1 ,0.11%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,31 ,3.52%
IND - NADER/CAMEJO ,2 ,0.23%
"Write In, if any ",2 ,0.23%
Total... ,881 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,853 ,97.49%
REP - MICHAEL ANDREW MONROE ,20 ,2.29%
"Write In, if any ",2 ,0.23%
Total... ,875 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,244 ,22.32%
SGN - LAURENT ROSS ,48 ,4.39%
DEM - KWAME R. BROWN ,767 ,70.17%
IND - A.D. ''TONY'' DOMINGUEZ ,27 ,2.47%
"Write In, if any ",7 ,0.64%
Total... ,"1,093 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,22 ,2.55%
REP - JEROD TOLSON ,18 ,2.09%
DEM - VINCENT C. GRAY ,806 ,93.50%
"Write In, if any ",16 ,1.86%
Total... ,862 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,790 ,95.30%
SGN - ADAM EIDINGER ,29 ,3.50%
"Write In, if any ",10 ,1.21%
Total... ,829 ,100.00%
Precinct 94,"",""
Registration & Turnout ,"","1,947"
Election Day Turnout ,981 ,50.39%
Absentee Turnout ,75 ,3.85%
Total... ,"1,056 ",54.24%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,996 ,95.77%
SGN - COBB/LaMARCHE ,2 ,0.19%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,40 ,3.85%
IND - NADER/CAMEJO ,0 ,0.00%
"Write In, if any ",2 ,0.19%
Total... ,"1,040 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1000 ,97.75%
REP - MICHAEL ANDREW MONROE ,21 ,2.05%
"Write In, if any ",2 ,0.20%
Total... ,"1,023 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,261 ,20.65%
SGN - LAURENT ROSS ,76 ,6.01%
DEM - KWAME R. BROWN ,860 ,68.04%
IND - A.D. ''TONY'' DOMINGUEZ ,58 ,4.59%
"Write In, if any ",9 ,0.71%
Total... ,"1,264 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,41 ,4.06%
REP - JEROD TOLSON ,27 ,2.67%
DEM - VINCENT C. GRAY ,916 ,90.69%
"Write In, if any ",26 ,2.57%
Total... ,"1,010 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,898 ,94.03%
SGN - ADAM EIDINGER ,49 ,5.13%
"Write In, if any ",8 ,0.84%
Total... ,955 ,100.00%
Precinct 95,"",""
egistration & Turnout ,"","1,544"
Election Day Turnout ,732 ,47.41%
Absentee Turnout ,51 ,3.30%
Total... ,783 ,50.71%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,740 ,95.48%
SGN - COBB/LaMARCHE ,3 ,0.39%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.13%
REP - BUSH/CHENEY ,28 ,3.61%
IND - NADER/CAMEJO ,1 ,0.13%
"Write In, if any ",2 ,0.26%
Total... ,775 ,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,731 ,96.95%
REP - MICHAEL ANDREW MONROE ,21 ,2.79%
"Write In, if any ",2 ,0.27%
Total... ,754 ,100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,213 ,22.30%
SGN - LAURENT ROSS ,48 ,5.03%
DEM - KWAME R. BROWN ,651 ,68.17%
IND - A.D. ''TONY'' DOMINGUEZ ,41 ,4.29%
"Write In, if any ",2 ,0.21%
Total... ,955 ,100.00%
ARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,22 ,2.91%
REP - JEROD TOLSON ,9 ,1.19%
DEM - VINCENT C. GRAY ,714 ,94.44%
"Write In, if any ",11 ,1.46%
Total... ,756 ,100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,699 ,96.41%
SGN - ADAM EIDINGER ,26 ,3.59%
"Write In, if any ",0 ,0.00%
Total... ,725 ,100.00%
Precinct 96,"",""
Registration & Turnout ,"","2,138"
Election Day Turnout ,993 ,46.45%
Absentee Turnout ,77 ,3.60%
Total... ,"1,070 ",50.05%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1021 ,96.32%
SGN - COBB/LaMARCHE ,2 ,0.19%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,32 ,3.02%
IND - NADER/CAMEJO ,4 ,0.38%
"Write In, if any ",1 ,0.09%
Total... ,"1,060 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1023 ,97.89%
REP - MICHAEL ANDREW MONROE ,18 ,1.72%
"Write In, if any ",4 ,0.38%
Total... ,"1,045 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,275 ,21.60%
SGN - LAURENT ROSS ,46 ,3.61%
DEM - KWAME R. BROWN ,905 ,71.09%
IND - A.D. ''TONY'' DOMINGUEZ ,45 ,3.53%
"Write In, if any ",2 ,0.16%
Total... ,"1,273 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,52 ,5.04%
REP - JEROD TOLSON ,18 ,1.75%
DEM - VINCENT C. GRAY ,944 ,91.56%
"Write In, if any ",17 ,1.65%
Total... ,"1,031 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,934 ,95.02%
SGN - ADAM EIDINGER ,49 ,4.98%
"Write In, if any ",0 ,0.00%
Total... ,983 ,100.00%
Precinct 97,"",""
egistration & Turnout ,"","1,278"
Election Day Turnout ,590 ,46.17%
Absentee Turnout ,64 ,5.01%
Total... ,654 ,51.17%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,614 ,95.94%
SGN - COBB/LaMARCHE ,1 ,0.16%
LIB - BADNARIK/CAMPAGNA ,1 ,0.16%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,20 ,3.13%
IND - NADER/CAMEJO ,3 ,0.47%
"Write In, if any ",1 ,0.16%
Total... ,640 ,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,613 ,97.92%
REP - MICHAEL ANDREW MONROE ,13 ,2.08%
"Write In, if any ",0 ,0.00%
Total... ,626 ,100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,222 ,26.15%
SGN - LAURENT ROSS ,46 ,5.42%
DEM - KWAME R. BROWN ,537 ,63.25%
IND - A.D. ''TONY'' DOMINGUEZ ,43 ,5.06%
"Write In, if any ",1 ,0.12%
Total... ,849 ,100.00%
ARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,15 ,2.42%
REP - JEROD TOLSON ,7 ,1.13%
DEM - VINCENT C. GRAY ,575 ,92.74%
"Write In, if any ",23 ,3.71%
Total... ,620 ,100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,570 ,95.64%
SGN - ADAM EIDINGER ,25 ,4.19%
"Write In, if any ",1 ,0.17%
Total... ,596 ,100.00%
Precinct 98,"",""
Registration & Turnout ,"","1,771"
Election Day Turnout ,980 ,55.34%
Absentee Turnout ,55 ,3.11%
Total... ,"1,035 ",58.44%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,971 ,94.92%
SGN - COBB/LaMARCHE ,5 ,0.49%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.10%
REP - BUSH/CHENEY ,39 ,3.81%
IND - NADER/CAMEJO ,7 ,0.68%
"Write In, if any ",0 ,0.00%
Total... ,"1,023 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,990 ,98.31%
REP - MICHAEL ANDREW MONROE ,15 ,1.49%
"Write In, if any ",2 ,0.20%
Total... ,"1,007 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
